CÓDIGO EUROPEO,LEI,NOMBRE,CATEGORÍA,DIRECCIÓN,INFORME,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0241,959800QKRKCC19MR2G52,"A&G BANCO, S.A.",Entidad de crédito,"Paseo de la Castellana, 92, 28046, Madrid",No,,"0241"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES2080,54930056IRBXK0Q1FP96,"Abanca Corporacion Bancaria, S.A.",Entidad de crédito,"CI Cantón Claudino Pita, 2, 15300, Betanzos",Sí,,"2080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES8620,549300ORPMRMXB2JO334,"Abanca Servicios Financieros E.F.C., S.A.",Otra institución,"CL RÚA NUEVA, 30, 15004, A CORUÑA",No,,"8620"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES1535,,"AKF Bank GmbH & Co Kg, Sucursal en España",Entidad de crédito,"AV DE EUROPA, 12, 28108, ALCOBENDAS",No,DE03439,"1535"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES0011,95980020140005844330,"Allfunds Bank, S.A.",Entidad de crédito,"Cl Padres Dominicos, 7, 28050, Madrid",Sí,,"0011"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0200,95980020140005218292,"ANDBANK ESPAÑA BANCA PRIVADA, S.A.",Entidad de crédito,"PS DE LA CASTELLANA, 55, 28046, MADRID",No,,"0200"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0136,95980020140005658381,"Aresbank, S.A.",Entidad de crédito,"Ps de la Castellana, 257, 28046, Madrid",No,,"0136"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES3183,959800AQXRU3780MW094,"Arquia Bank, S.A.",Entidad de crédito,"CL TUTOR, 16, 28008, MADRID",Sí,,"3183"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES1541,9598002BMCMBU7G30F66,"Attijariwafa Bank Europe, Sucursal en España",Entidad de crédito,"Cl Bravo Murillo, 210, 28020, Madrid",No,FR23890,"1541"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES0061,959800LQ598A5RQASA61,"Banca March, S.A.",Entidad de crédito,"AV DE ALEJANDRO ROSELLÓ, 8, 07002, PALMA",Sí,,"0061"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1550,95980020140005982749,"Banca Popolare Etica Società Cooperativa per Azioni, Sucursal en España",Entidad de crédito,"Cl Santa María, 9, 48005, Bilbao",No,IT0001210299538,"1550"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES0078,95980020140005487855,"Banca Pueyo, S.A.",Entidad de crédito,"CL SANTA MARÍA DE GUADALUPE, 2, 06700, VILLANUEVA DE LA SERENA",Sí,,"0078"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES0188,95980020140005317135,"Banco Alcalá, S.A.",Entidad de crédito,"Cl José Ortega y Gasset, 7, 28006, Madrid",No,,"0188"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0182,K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, S.A.",Entidad de crédito,"Pz de San Nicolás, 4, 48005, Bilbao",Sí,,"0182"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0225,95980020140005879929,"Banco Cetelem, S.A.",Entidad de crédito,"PASEO DE LOS MELANCÓLICOS, 14, 28005, Madrid",Sí,,"0225"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES0198,549300LYFYVPUCG6SY25,"Banco Cooperativo Español, S.A.",Entidad de crédito,"Cl Virgen de los Peligros, 4, 28013, Madrid",Sí,,"0198"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES0091,959800MZYB6CKWA9K382,"Banco de Albacete, S.A.",Entidad de crédito,"AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",No,,"0091"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES0240,95980020140005881190,"Banco de Crédito Social Cooperativo",Entidad de crédito,"Pº Castellana, 87, 28046, Madrid",Sí,,"0240"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES0003,5493007LK0D8SKLLH161,"Banco de Depósitos, S.A.",Entidad de crédito,"PS DE LA CASTELLANA, 120, 28046, MADRID",No,,"0003"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES9000,95980020140006022422,"BANCO DE ESPAÑA",Banco central,"CL ALCALÁ, 48, 28014, Madrid",Sí,,"9000"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES1569,213800L7WX45LP7FYJ46,"Banco de Investimento Global SA, Sucursal en España",Entidad de crédito,"CL SERRANO 67, 28006, MADRID",No,PT61,"1569"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES0169,,"Banco de la Nación Argentina, Sucursal en España",Entidad de crédito,"Cl Núñez de Balboa, 73, 28001, Madrid",No,AR0ECBM00012,"0169"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES0081,SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, S.A.",Entidad de crédito,"AV. ÓSCAR ESPLÁ, 30, 03003, ALICANTE/ALACANT",Sí,,"0081"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES0184,549300CM3R8O9D5Q9M94,"Banco Europeo de Finanzas, S.A.",Entidad de crédito,"Cl Bolsa, 4, 29015, Málaga",No,,"0184"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0220,5493002PFG8AH59UDW18,"BANCO FINANTIA, S.A., SUCURSAL EN ESPAÑA",Entidad de crédito,"AV MENÉNDEZ PELAYO, 67, 28009, MADRID",No,PT48,"0220"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES0232,95980020140005184148,"Banco Inversis, S.A.",Entidad de crédito,"Av de la Hispanidad, 6, 28042, Madrid",Sí,,"0232"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0186,2138001YBO7CJNQOEE37,"Banco Mediolanum, S.A.",Entidad de crédito,"CL BARCAS, 10, 46002, VALENCIA",Sí,,"0186"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES0121,95980020140005816006,"Banco Occidental, S.A.",Entidad de crédito,"Cl Azul, 4, 28050, Madrid",No,,"0121"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES0235,95980020140005952097,"Banco Pichincha España, S.A..",Entidad de crédito,"Cl Lagasca, 4, 28001, Madrid",Sí,,"0235"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1509,,"Banco Primus, S.A., Sucursal en España",Entidad de crédito,"Av del Partenón, 10, 28042, Madrid",No,PT246,"1509"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0049,5493006QMFDDMYWIAM13,"Banco Santander, S.A.",Entidad de crédito,"Ps de Pereda, 9-12, 39004, Santander",Sí,,"0049"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES8843,,"BANGE CREDIT E.F.C. SA",Otra institución,"CL SERRANO, 106, 28006, MADRID",No,,"8843"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1574,,"Bank Julius Baer Europe, S.A, Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 7, 28046, MADRID",No,LUB00032,"1574"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0219,959800VHSP2QBPNRF210,"Bank of Africa Europe, S.A.",Entidad de crédito,"Cl Serrano, 59, 28006, Madrid",No,,"0219"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES1485,,"Bank of America Europe DAC, Sucursal en España",Entidad de crédito,"Cl Marqués de Villamagna, 3, 28020, Madrid",No,IEMLCMBX,"1485"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES1488,,"BANK PICTET & CIE (EUROPE) AG SUCURSAL EN ESPAÑA",Entidad de crédito,"CL ORTEGA Y GASSET, 29, 28006, MADRID",No,,"1488"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES8832,5493001G6G8EOXRVRM56,"Bankinter Consumer Finance, E.F.C., S.A.",Otra institución,"AV DE BRUSELAS, 12, 28108, ALCOBENDAS",No,,"8832"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0128,VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.",Entidad de crédito,"Ps de la Castellana 29, 28046, Madrid",Sí,,"0128"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES1525,,"Banque Chaabi du Maroc, Sucursal en España",Entidad de crédito,"Av del Doctor Arce, 35, 28002, Madrid",No,FR41439,"1525"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES1580,54930026XN87T3SNL238,"BANQUE J. SAFRA SARASIN (LUXEMBOURG) SA, SUCURSAL EN ESPAÑA",Entidad de crédito,"Pº DE LA CASTELLANA,13, 28046, MADRID",No,LUB00148,"1580"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0152,,"Barclays Bank Ireland PLC, Sucursal en España",Entidad de crédito,"Cl José Abascal, 51, 28003, Madrid",No,IEC36964,"0152"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES1554,,"BFF Bank, S.P.A. Sucursal en España",Entidad de crédito,"Ps DE LA CASTELLANA, 81, 28046, Madrid",No,IT0000464876170,"1554"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESA86969607,,"BIP&Drive EDE, S.A",Otra institución,"CL SERRANO, 45, 28001, MADRID",No,,"6712"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1533,,"BMW Bank GmbH, Sucursal en España",Entidad de crédito,"Av de Burgos, 118, 28050, Madrid",Sí,DE03392,"1533"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
